timestamp_sec,state,marker_found,marker_id,horizontal_error,distance_m,front_obstacle_m,linear_x,angular_z,stop_reason
1331.600,STOP,False,,,,,0.000000,0.000000,image_timeout
1331.600,STOP,False,,,,,0.000000,0.000000,image_timeout
1331.700,STOP,False,,,,,0.000000,0.000000,image_timeout
1331.800,STOP,False,,,,,0.000000,0.000000,image_timeout
1331.900,STOP,False,,,,,0.000000,0.000000,image_timeout
1332.000,STOP,False,,,,,0.000000,0.000000,image_timeout
1332.100,TRACK,True,0,-0.409375,1.431385,,0.000000,0.573125,none
1332.200,TRACK,True,0,-0.373437,1.454217,,0.000000,0.522812,none
1332.300,TRACK,True,0,-0.268750,1.473519,,0.000000,0.376250,none
1332.400,TRACK,True,0,-0.207813,1.484411,,0.000000,0.290938,none
1332.500,TRACK,True,0,-0.130469,1.475002,,0.000000,0.182656,none
1332.600,TRACK,True,0,-0.100000,1.487323,,0.160000,0.140000,none
1332.700,TRACK,True,0,-0.059375,1.487620,,0.160000,0.083125,none
1332.800,TRACK,True,0,-0.039062,1.468751,,0.160000,0.054688,none
1332.900,TRACK,True,0,-0.020313,1.434909,,0.160000,0.028437,none
1333.000,TRACK,True,0,-0.012500,1.442741,,0.160000,0.017500,none
1333.100,TRACK,True,0,-0.009375,1.423010,,0.160000,0.013125,none
1333.200,TRACK,True,0,-0.007031,1.410036,,0.160000,0.009844,none
1333.300,TRACK,True,0,-0.005469,1.382731,,0.160000,0.007656,none
1333.400,TRACK,True,0,-0.003125,1.361626,,0.160000,0.004375,none
1333.500,TRACK,True,0,-0.001563,1.347929,,0.160000,0.002187,none
1333.600,TRACK,True,0,-0.001563,1.338823,,0.160000,0.002187,none
1333.700,TRACK,False,,,,,0.160000,0.001094,none
1333.800,TRACK,True,0,-0.000781,1.305402,,0.160000,0.001094,none
1333.900,TRACK,True,0,0.000000,1.295007,,0.160000,-0.000000,none
1334.000,TRACK,True,0,-0.001563,1.280846,,0.160000,0.002187,none
1334.100,TRACK,True,0,0.000000,1.260665,,0.160000,-0.000000,none
