timestamp_sec,state,marker_found,marker_id,horizontal_error,distance_m,front_obstacle_m,linear_x,angular_z,stop_reason
837.500,TRACK,True,0,-0.001563,1.422665,,0.160000,0.002187,none
837.500,TRACK,True,0,-0.001563,1.422665,,0.160000,0.002187,none
837.600,TRACK,True,0,-0.001563,1.422665,,0.160000,0.002187,none
837.700,TRACK,True,0,-0.001563,1.422665,,0.160000,0.002187,none
837.800,TRACK,True,0,0.000000,1.420894,,0.160000,-0.000000,none
837.900,TRACK,True,0,-0.002344,1.408255,,0.160000,0.003281,none
838.000,TRACK,True,0,-0.001563,1.395966,,0.160000,0.002187,none
838.100,TRACK,True,0,0.000000,1.371897,,0.160000,-0.000000,none
838.200,TRACK,True,0,0.000000,1.350522,,0.160000,-0.000000,none
838.300,TRACK,True,0,0.000000,1.321853,,0.160000,-0.000000,none
838.400,TRACK,True,0,0.000000,1.326167,,0.160000,-0.000000,none
838.500,TRACK,True,0,0.000781,1.303849,,0.160000,-0.001094,none
838.600,TRACK,True,0,0.000000,1.281513,,0.160000,-0.000000,none
838.700,TRACK,True,0,0.000000,1.283388,,0.160000,-0.000000,none
838.800,TRACK,True,0,0.000000,1.239526,,0.160000,-0.000000,none
838.900,TRACK,True,0,0.000000,1.243282,,0.160000,-0.000000,none
839.000,TRACK,True,0,-0.001563,1.222431,,0.160000,0.002187,none
839.100,TRACK,True,0,-0.000781,1.205361,,0.160000,0.001094,none
839.200,TRACK,True,0,0.000000,1.189639,,0.160000,-0.000000,none
839.300,TRACK,True,0,0.000781,1.178708,,0.160000,-0.001094,none
839.400,TRACK,True,0,0.000781,1.153212,,0.160000,-0.001094,none
839.500,TRACK,True,0,0.000781,1.143583,,0.160000,-0.001094,none
839.600,TRACK,True,0,0.000781,1.120877,,0.160000,-0.001094,none
839.700,TRACK,True,0,0.000000,1.105140,,0.160000,-0.000000,none
839.800,TRACK,True,0,0.000000,1.105139,,0.160000,-0.000000,none
839.900,TRACK,True,0,0.000000,1.074001,,0.160000,-0.000000,none
840.000,TRACK,True,0,-0.001563,1.054982,,0.160000,0.002187,none
840.100,TRACK,True,0,0.000000,1.046974,,0.160000,-0.000000,none
840.200,TRACK,False,,,,,0.160000,-0.002187,none
840.300,TRACK,True,0,0.000781,1.007805,,0.160000,-0.001094,none
840.400,TRACK,True,0,0.000000,0.994626,,0.160000,-0.000000,none
840.500,TRACK,True,0,0.000781,0.983048,,0.160000,-0.001094,none
840.600,TRACK,True,0,0.000000,0.970366,,0.160000,-0.000000,none
840.700,TRACK,False,,,,,0.160000,-0.000000,none
840.800,TRACK,False,,,,,0.160000,0.002187,none
840.900,TRACK,False,,,,,0.160000,0.001094,none
841.000,TRACK,False,,,,,0.160000,-0.000000,none
841.100,TRACK,True,0,0.000000,0.884112,,0.160000,-0.000000,none
841.200,TRACK,True,0,0.000781,0.865973,,0.160000,-0.001094,none
841.300,TRACK,True,0,0.000000,0.846490,,0.160000,-0.000000,none
841.400,TRACK,True,0,-0.000781,0.833161,,0.160000,0.001094,none
841.500,TRACK,True,0,0.001563,0.814665,,0.160000,-0.002187,none
841.600,TRACK,False,,,,,0.160000,-0.001094,none
841.700,TRACK,True,0,0.000000,0.779578,,0.150352,-0.000000,none
841.800,TRACK,True,0,0.000000,0.780098,,0.150534,-0.000000,none
841.900,TRACK,True,0,0.000000,0.760654,,0.143729,-0.000000,none
842.000,TRACK,False,,,,,0.138795,-0.000000,none
842.100,TRACK,False,,,,,0.135366,-0.000000,none
842.200,TRACK,False,,,,,0.126347,-0.001094,none
842.300,TRACK,True,0,0.000000,0.697620,,0.121667,-0.000000,none
842.400,TRACK,True,0,0.000000,0.685949,,0.117582,-0.000000,none
842.500,TRACK,False,,,,,0.114511,-0.001094,none
842.600,TRACK,False,,,,,0.110130,-0.001094,none
842.700,TRACK,True,0,0.000000,0.652213,,0.105775,-0.000000,none
842.800,TRACK,True,0,-0.000781,0.638098,,0.100834,0.001094,none
842.900,TRACK,False,,,,,0.098528,-0.000000,none
843.000,TRACK,True,0,0.000781,0.618410,,0.093943,-0.001094,none
