timestamp_sec,state,marker_found,marker_id,horizontal_error,distance_m,front_obstacle_m,linear_x,angular_z,stop_reason
637.300,TRACK,True,0,-0.001563,1.422665,,0.160000,0.002187,none
637.300,TRACK,True,0,-0.001563,1.422665,,0.160000,0.002187,none
637.400,TRACK,True,0,-0.001563,1.422665,,0.160000,0.002187,none
637.500,TRACK,True,0,-0.001563,1.422665,,0.160000,0.002187,none
637.600,TRACK,True,0,-0.000781,1.419731,,0.160000,0.001094,none
637.700,TRACK,True,0,-0.001563,1.393725,,0.160000,0.002187,none
637.800,TRACK,True,0,-0.000781,1.383744,,0.160000,0.001094,none
637.900,TRACK,True,0,0.000000,1.371897,,0.160000,-0.000000,none
638.000,TRACK,True,0,-0.000781,1.347907,,0.160000,0.001094,none
638.100,TRACK,True,0,0.000781,1.325441,,0.160000,-0.001094,none
638.200,TRACK,True,0,0.000000,1.326167,,0.160000,-0.000000,none
638.300,TRACK,True,0,-0.000781,1.291967,,0.160000,0.001094,none
638.400,TRACK,True,0,0.000000,1.283388,,0.160000,-0.000000,none
638.500,TRACK,True,0,0.000000,1.283388,,0.160000,-0.000000,none
638.600,TRACK,True,0,0.000000,1.243282,,0.160000,-0.000000,none
638.700,TRACK,True,0,0.000000,1.243282,,0.160000,-0.000000,none
638.800,TRACK,True,0,0.000000,1.224010,,0.160000,-0.000000,none
638.900,TRACK,True,0,0.000000,1.205607,,0.160000,-0.000000,none
639.000,TRACK,True,0,0.001563,1.187613,,0.160000,-0.002187,none
639.100,TRACK,True,0,0.000000,1.170148,,0.160000,-0.000000,none
639.200,TRACK,True,0,-0.001563,1.151707,,0.160000,0.002187,none
639.300,TRACK,True,0,0.000000,1.136715,,0.160000,-0.000000,none
639.400,TRACK,True,0,0.001563,1.119336,,0.160000,-0.002187,none
639.500,TRACK,True,0,0.000781,1.105337,,0.160000,-0.001094,none
639.600,TRACK,True,0,-0.000781,1.090240,,0.160000,0.001094,none
639.700,TRACK,True,0,0.000000,1.075271,,0.160000,-0.000000,none
639.800,TRACK,True,0,0.000000,1.060840,,0.160000,-0.000000,none
639.900,TRACK,True,0,-0.000781,1.033774,,0.160000,0.001094,none
640.000,TRACK,True,0,0.000000,1.020129,,0.160000,-0.000000,none
640.100,TRACK,True,0,0.001563,1.007216,,0.160000,-0.002187,none
640.200,TRACK,True,0,0.000000,0.994626,,0.160000,-0.000000,none
640.300,TRACK,True,0,0.000000,0.970367,,0.160000,-0.000000,none
640.400,TRACK,True,0,-0.000781,0.959408,,0.160000,0.001094,none
640.500,TRACK,True,0,0.000000,0.938517,,0.160000,-0.000000,none
640.600,TRACK,True,0,-0.000781,0.925994,,0.160000,0.001094,none
640.700,TRACK,True,0,0.000781,0.909325,,0.160000,-0.001094,none
640.800,TRACK,True,0,0.001563,0.894045,,0.160000,-0.002187,none
640.900,TRACK,True,0,0.000000,0.877004,,0.160000,-0.000000,none
641.000,TRACK,True,0,0.000000,0.864892,,0.160000,-0.000000,none
641.100,TRACK,True,0,0.000000,0.840200,,0.160000,-0.000000,none
641.200,TRACK,True,0,-0.000781,0.829957,,0.160000,0.001094,none
641.300,TRACK,False,,,,,0.160000,-0.000000,none
641.400,TRACK,True,0,0.000000,0.795700,,0.155995,-0.000000,none
641.500,TRACK,True,0,0.000781,0.781446,,0.151006,-0.001094,none
641.600,TRACK,False,,,,,0.145284,-0.000000,none
641.700,TRACK,True,0,0.000000,0.746558,,0.138795,-0.000000,none
641.800,TRACK,True,0,0.000000,0.736760,,0.135366,-0.000000,none
641.900,TRACK,False,,,,,0.131195,-0.001094,none
